domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
MatchCellar-impossible,instance_10-ground,TAMER-ctp,,,false,out of memory,|
MatchCellar-impossible,instance_10-ground,nuXmv,,,false,out of time,|
MatchCellar-impossible,instance_10-ground,UPPAAL,,,false,out of memory,|
MatchCellar-impossible,instance_10-cert-conv,shell-script,,,true,out of memory,
MatchCellar-impossible,instance_10-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/MatchCellar-impossible/instance_10.cert
MatchCellar-impossible,instance_10,tfd,,,false,out of time,|
MatchCellar-impossible,instance_10,OPTIC,,,false,out of time,|
MatchCellar-impossible,instance_10-ground,POPF,,,false,out of time,|
MatchCellar-impossible,instance_solvable,tck-aLUcovreach,0.02,10600,false,okay,|COVERED_STATES 13
MEMORY_MAX_RSS 10600
REACHABLE true
RUNNING_TIME_SECONDS 0.000810912
STORED_STATES 45
VISITED_STATES 39
VISITED_TRANSITIONS 57
MatchCellar-impossible,instance_solvable,tck-covreach,0.00,8908,false,okay,|COVERED_STATES 15
MEMORY_MAX_RSS 8908
REACHABLE true
RUNNING_TIME_SECONDS 0.000331543
STORED_STATES 55
VISITED_STATES 49
VISITED_TRANSITIONS 69
MatchCellar-impossible,instance_solvable-ground,TAMER-ctp,0.01,4680,false,okay,|;; A plan has been found:
0: action__light_match_match0_() [5]
0.01: action__mend_fuse_fuse0_match0_() [2]
2.02: action__mend_fuse_fuse1_match0_() [2]
MatchCellar-impossible,instance_solvable-ground,nuXmv,0.04,58288,false,okay,|*** This is nuXmv 2.1.0 (compiled on Fri Nov 29 13:41:31 2024)
*** Copyright (c) 2014-2024, Fondazione Bruno Kessler
*** For more information on nuXmv see https://nuxmv.fbk.eu
*** or email to <nuxmv@fbk.eu>.
*** Please report bugs at Please report bugs to <nusmv-users@fbk.eu>
*** (click on "Login Anonymously" to access)
*** Alternatively write to <nuxmv@fbk.eu>.

*** This version of nuXmv is linked to NuSMV 2.7.0.
*** For more information on NuSMV see <http://nusmv.fbk.eu>
*** or email to <nusmv-users@fbk.eu>.
*** Copyright (C) 2010-2024, Fondazione Bruno Kessler

*** This version of nuXmv is linked to the CUDD library version 2.4.1
*** Copyright (c) 1995-2004, Regents of the University of Colorado

*** This version of nuXmv is linked to the MiniSat SAT solver. 
*** See http://minisat.se/MiniSat.html
*** Copyright (c) 2003-2006, Niklas Een, Niklas Sorensson
*** Copyright (c) 2007-2010, Niklas Sorensson

*** This version of nuXmv is linked to MathSAT
*** Copyright (C) 2009-2019 by Fondazione Bruno Kessler
*** Copyright (C) 2009-2019 by University of Trento and others
*** See http://mathsat.fbk.eu

nuXmv > -- no proof or counterexample found with bound 0
-- no proof or counterexample found with bound 1
-- no proof or counterexample found with bound 2
-- no proof or counterexample found with bound 3
-- invariant !((((!action__light_match_match0__running & !action__mend_fuse_fuse0_match0__running) & !action__mend_fuse_fuse1_match0__running) & mended_fuse1) & mended_fuse0)  is false
-- as demonstrated by the following execution sequence
Trace Description: IC3 smt counterexample 
Trace Type: Counterexample 
  -> State: 1.1 <-
    action__light_match_match0__clock = 0.0
    action__mend_fuse_fuse0_match0__clock = 0.0
    action__mend_fuse_fuse1_match0__clock = 0.0
    handfree = TRUE
    light_match0 = FALSE
    mended_fuse0 = FALSE
    mended_fuse1 = FALSE
    unused_match0 = TRUE
    action__light_match_match0__running = FALSE
    action__mend_fuse_fuse0_match0__running = FALSE
    action__mend_fuse_fuse0_match0__0 = FALSE
    action__mend_fuse_fuse1_match0__running = FALSE
    action__mend_fuse_fuse1_match0__0 = FALSE
  -- [ discrete transition ] --
  -> State: 1.2 <-
    light_match0 = TRUE
    unused_match0 = FALSE
    action__light_match_match0__running = TRUE
  -- [ time elapse: time = 0.0; delta = 1.0 ] --
  -> State: 1.3 <-
    action__light_match_match0__clock = 1.0
    action__mend_fuse_fuse0_match0__clock = 1.0
    action__mend_fuse_fuse1_match0__clock = 1.0
  -- [ discrete transition ] --
  -> State: 1.4 <-
    action__mend_fuse_fuse0_match0__clock = 0.0
    handfree = FALSE
    action__mend_fuse_fuse0_match0__running = TRUE
  -- [ time elapse: time = 1.0; delta = 2.0 ] --
  -> State: 1.5 <-
    action__light_match_match0__clock = 3.0
    action__mend_fuse_fuse0_match0__clock = 2.0
    action__mend_fuse_fuse1_match0__clock = 3.0
  -- [ discrete transition ] --
  -> State: 1.6 <-
    handfree = TRUE
    mended_fuse0 = TRUE
    action__mend_fuse_fuse0_match0__running = FALSE
    action__mend_fuse_fuse0_match0__0 = TRUE
  -- [ discrete transition ] --
  -> State: 1.7 <-
    action__mend_fuse_fuse1_match0__clock = 0.0
    handfree = FALSE
    action__mend_fuse_fuse1_match0__running = TRUE
  -- [ time elapse: time = 3.0; delta = 2.0 ] --
  -> State: 1.8 <-
    action__light_match_match0__clock = 5.0
    action__mend_fuse_fuse0_match0__clock = 4.0
    action__mend_fuse_fuse1_match0__clock = 2.0
  -- [ discrete transition ] --
  -> State: 1.9 <-
    handfree = TRUE
    light_match0 = FALSE
    mended_fuse1 = TRUE
    action__light_match_match0__running = FALSE
    action__mend_fuse_fuse1_match0__running = FALSE
    action__mend_fuse_fuse1_match0__0 = TRUE
MatchCellar-impossible,instance_solvable-ground,UPPAAL,,,false,out of memory,|
MatchCellar-impossible,instance_solvable-cert-conv,shell-script,,,true,out of memory,
MatchCellar-impossible,instance_solvable-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/MatchCellar-impossible/instance_solvable.cert
MatchCellar-impossible,instance_solvable,tfd,0.24,13392,false,okay,|Parsing... Contains quantified condition(s): False Instantiating... Trivial rules: Converted to facts. Starting instantiation [12 rules]... Finding invariants... Finding invariants... 7 initial candidates [0.000s CPU, 0.000s wall-clock] Checking invariant weight... [0.000s CPU, 0.000s wall-clock] Instantiating groups... Choosing groups... 5 uncovered facts (before using the results from the invariant synthesis) 3 uncovered facts Building translation key... Building STRIPS to SAS dictionary... Translating task... Processing axioms... Found 0 axioms that are always true and 0 that are always false constrained 3 conditions Writing output... Done! contains_quantified_conditions: 0 Building causal graph... The causal graph is not acyclic. 6 variables of 6 necessary 3 of 3 operators necessary. 0 of 0 Axiom_relational rules necessary. 0 of 0 Axiom_functional rules necessary. Building domain transition graphs... solveable in poly time 0 Building successor generator... all_operator_indices.size(): 3 Writing output... printing SG 6 done Planner Paramters: Anytime Search: Enabled Timeout if plan was found: 0 seconds (no timeout) Timeout while no plan was found: 0 seconds (no timeout) Greedy Search: Disabled Verbose: Enabled Lazy Heuristic Evaluation: Enabled Use caching in heuristic. Cyclic CG heuristic: Enabled Preferred Operators: Enabled Makespan heuristic: Disabled Preferred Operators: Disabled No Heuristic: Disabled Cg Heuristic Zero Cost Waiting Transitions: Enabled Cg Heuristic Fire Waiting Transitions Only If Local Problems Matches State: Disabled PrefOpsOrderedMode: Enabled with 1 goals PrefOpsCheapestMode: Enabled with 1 goals PrefOpsMostExpensiveMode: Disabled with 1000 goals PrefOpsRandMode: Disabled with 1000 goals PrefOpsConcurrentMode: Disabled Reset after solution was found: Enabled Reward only preferred operators queue: Disabled GValues by: Timestamp Queue management mode: Priority based Known by logical state only filtering: Disabled use_subgoals_to_break_makespan_ties: Disabled Reschedule plans: Enabled Epsilonize internally: Enabled Epsilonize externally: Disabled Keep original plans: Enabled Plan name: "/home/david/work/tchecker-experiments/plan-dir/MatchCellar-impossible/tfd_instance_solvable_plan.pddl" Plan monitor file: "" (no monitoring) Monitoring verify timestamps: Disabled Contains universal conditions: 0 Giving prior boost to open list 0 INIT Open list sizes (priorities): 0 (-5000), 0 (0), 0 (0), 0 (0), Initializing cyclic causal graph heuristic...done. Best heuristic values of queues: 14/-1/-1/-1 [expanded 1 state(s)] Best heuristic values of queues: 4/-1/-1/-1 [expanded 2 state(s)] Best heuristic values of queues: 3.98/-1/-1/-1 [expanded 3 state(s)] Best heuristic values of queues: 2/-1/-1/-1 [expanded 4 state(s)] Best heuristic values of queues: 0.9/-1/-1/-1 [expanded 8 state(s)] Best heuristic values of queues: 0/-1/-1/-1 [expanded 9 state(s)] New solution has been found. Found new plan: 0.00000000: (light_match match0) [5.00000000] 0.01000000: (mend_fuse fuse0 match0) [2.00000000] 2.02000000: (mend_fuse fuse1 match0) [2.00000000] Rescheduled Plan: 0.00100000: (light_match match0) [5.00000000] 0.01100000: (mend_fuse fuse0 match0) [2.00000000] 2.02100000: (mend_fuse fuse1 match0) [2.00000000] Solution with original makespan 5 found (ignoring no-moving-targets-rule). Plan length: 3 step(s). Makespan : 5.001 Rescheduled Makespan : 5.001 INIT Open list sizes (priorities): 1 (-10992), 9 (0), 10 (0), 8 (0), Best heuristic values of queues: 0/-1/-1/3.98 [expanded 10 state(s)] Completely explored state space -- best plan found! New solution has been found. Search time: 0 seconds - Walltime: 0.000808001 seconds Total time: 0 seconds - Walltime: 0.000914097 seconds ('translate/translate.py', '/home/david/work/tchecker-experiments/pddl-domains/MatchCellar-impossible/domain.pddl', '/home/david/work/tchecker-experiments/pddl-domains/MatchCellar-impossible/instances/instance_solvable.pddl') {} ('preprocess/preprocess',) {'stdin': <_io.TextIOWrapper name='output.sas' mode='r' encoding='UTF-8'>} ('search/search', 'y+Y+a+e+r+O+1+C+1+b', 'p', '/home/david/work/tchecker-experiments/plan-dir/MatchCellar-impossible/tfd_instance_solvable_plan.pddl') {'stdin': <_io.TextIOWrapper name='output' mode='r' encoding='UTF-8'>}
MatchCellar-impossible,instance_solvable,OPTIC,0.02,13076,false,okay,|Number of literals: 5 Constructing lookup tables: Post filtering unreachable actions: Seeing if metric is defined in terms of task vars or a minimal value of makespan - Yes it is Recognised a monotonic-change-induced limit on -1.000*<special> - Must be >= the metric [01;31mLooking for achievers for goal index 0, fact (mended fuse0) with fID 3[00m (mend_fuse fuse0 match0) [01;34mFor limits: literal goal index 0, fact (mended fuse0), could be achieved by operator (mend_fuse fuse0 match0), which has other interesting effects (including one on (handfree) )[00m [01;31mLooking for achievers for goal index 1, fact (mended fuse1) with fID 4[00m (mend_fuse fuse1 match0) [01;34mFor limits: literal goal index 1, fact (mended fuse1), could be achieved by operator (mend_fuse fuse1 match0), which has other interesting effects (including one on (handfree) )[00m 66% of the ground temporal actions in this problem are compression-safe Initial heuristic = 4.000, admissible cost estimate 2.002 b (3.000 | 5.000)b (2.000 | 4.999)b (1.000 | 5.000)(G) ; LP calculated the cost ; Plan found with metric 5.000 ; Theoretical reachable cost 5.000 ; States evaluated so far: 5 ; States pruned based on pre-heuristic cost lower bound: 0 ; Time 0.00 0.000: (light_match match0) [5.000] 0.999: (mend_fuse fuse1 match0) [2.000] 3.000: (mend_fuse fuse0 match0) [2.000] args.sh convert_models examples files.sh grounder ground-pddl-problems makefile massif.out.112262 massif.out.119389 massif.out.119862 massif.out.119933 massif.out.120161 massif.out.120225 massif.out.121416 massif.out.121543 massif.out.123705 massif.out.123723 massif.out.124186 memory.sh muntac muntax-dir nextflap nuXmv nuxmv-dir optic-clp pddl-domains plan_cert plan-dir popf3-clp Readme.md results.csv results.temp.csv run.log run_optic.sh run.py run.sh run_tfd.sh smv-dir tamer tck-dir tck_examples tck-reach tfd time.sh todo.md uppaal-dir All goal deadlines now no later than 5.000 Resorting to best-first search Running WA* with W = 5.000, not restarting with goal states Problem Unsolvable ;;;; Solution Found ; States evaluated: 6 ; Cost: 5.000 ; Time 0.00 0.000: (light_match match0) [5.000] 0.999: (mend_fuse fuse1 match0) [2.000] 3.000: (mend_fuse fuse0 match0) [2.000]
MatchCellar-impossible,instance_solvable-ground,POPF,0.00,11960,false,okay,|Warnings encountered when parsing Domain/Problem File ----------------------------------------------------- The supplied domain/problem file appear to violate part of the PDDL language specification. Specifically: Errors: 0, warnings: 9 ./ground-pddl-problems/MatchCellar-impossible/instance_solvable_domain.pddl: line: 15: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/MatchCellar-impossible/instance_solvable_domain.pddl: line: 16: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/MatchCellar-impossible/instance_solvable_domain.pddl: line: 25: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/MatchCellar-impossible/instance_solvable_domain.pddl: line: 30: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/MatchCellar-impossible/instance_solvable_domain.pddl: line: 31: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/MatchCellar-impossible/instance_solvable_domain.pddl: line: 43: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/MatchCellar-impossible/instance_solvable_domain.pddl: line: 48: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/MatchCellar-impossible/instance_solvable_domain.pddl: line: 49: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/MatchCellar-impossible/instance_solvable_domain.pddl: line: 61: Warning: Undeclared requirement :durative-actions The planner will continue, but you may wish to fix your files accordingly Number of literals: 5 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 66% of the ground temporal actions in this problem are compression-safe Initial heuristic = 4.000 b (3.000 | 5.000)b (2.000 | 5.000)b (1.000 | 5.000);;;; Solution Found ; States evaluated: 5 ; Cost: 5.000 ; Time 0.00 0.000: (_light_match_match0_) [5.000] 0.001: (_mend_fuse_fuse1_match0_) [2.000] 2.002: (_mend_fuse_fuse0_match0_) [2.000]
domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
sync-impossible,*,tck-aLUcovreach,,,false,out of memory,|
sync-impossible,*,tck-covreach,,,false,out of memory,|
sync-impossible,*-ground,TAMER-ctp,,,false,out of memory,|
sync-impossible,*-ground,nuXmv,0.01,32904,false,okay,|*** This is nuXmv 2.1.0 (compiled on Fri Nov 29 13:41:31 2024)
*** Copyright (c) 2014-2024, Fondazione Bruno Kessler
*** For more information on nuXmv see https://nuxmv.fbk.eu
*** or email to <nuxmv@fbk.eu>.
*** Please report bugs at Please report bugs to <nusmv-users@fbk.eu>
*** (click on "Login Anonymously" to access)
*** Alternatively write to <nuxmv@fbk.eu>.

*** This version of nuXmv is linked to NuSMV 2.7.0.
*** For more information on NuSMV see <http://nusmv.fbk.eu>
*** or email to <nusmv-users@fbk.eu>.
*** Copyright (C) 2010-2024, Fondazione Bruno Kessler

*** This version of nuXmv is linked to the CUDD library version 2.4.1
*** Copyright (c) 1995-2004, Regents of the University of Colorado

*** This version of nuXmv is linked to the MiniSat SAT solver. 
*** See http://minisat.se/MiniSat.html
*** Copyright (c) 2003-2006, Niklas Een, Niklas Sorensson
*** Copyright (c) 2007-2010, Niklas Sorensson

*** This version of nuXmv is linked to MathSAT
*** Copyright (C) 2009-2019 by Fondazione Bruno Kessler
*** Copyright (C) 2009-2019 by University of Trento and others
*** See http://mathsat.fbk.eu

nuXmv > 
file ./nuxmv-dir/sync-impossible/args.sh.smv: line 1: cannot open input file ./nuxmv-dir/sync-impossible/args.sh.smv
nuXmv > 
Use "quit" to leave NuSMV.
nuXmv > 
Use "quit" to leave NuSMV.
nuXmv > 
Use "quit" to leave NuSMV.
nuXmv > 
Use "quit" to leave NuSMV.
nuXmv > 
Use "quit" to leave NuSMV.
nuXmv > 
sync-impossible,*-ground,UPPAAL,,,false,out of memory,|
sync-impossible,*-cert-conv,shell-script,,,,file missing,No model to obtain renaming. Expected: ./muntax-dir/sync-impossible/args.sh.muntax
sync-impossible,*-muntac-cert-check,muntac,,,,file missing,No model to obtain renaming. Expected: ./muntax-dir/sync-impossible/args.sh.muntax
sync-impossible,*,tfd,0.04,13240,false,okay,|Parsing... Error: Could not read file: /home/david/work/tchecker-experiments/pddl-domains/sync-impossible/domain.pddl Reason: [Errno 2] No such file or directory: '/home/david/work/tchecker-experiments/pddl-domains/sync-impossible/domain.pddl'. ('translate/translate.py', '/home/david/work/tchecker-experiments/pddl-domains/sync-impossible/domain.pddl', '/home/david/work/tchecker-experiments/pddl-domains/sync-impossible/instances/*.pddl') {} Traceback (most recent call last): File "/home/david/work/tchecker-experiments/./tfd/downward/tfd", line 44, in <module> main(domain, problem, result_name, config) ~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ File "/home/david/work/tchecker-experiments/./tfd/downward/tfd", line 23, in main run("translate/translate.py", domain, problem) ~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ File "/home/david/work/tchecker-experiments/./tfd/downward/tfd", line 20, in run subprocess.check_call(sum([arg.split("+") for arg in args],[]), **redirections) ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ File "/usr/lib/python3.13/subprocess.py", line 419, in check_call raise CalledProcessError(retcode, cmd) subprocess.CalledProcessError: Command '['translate/translate.py', '/home/david/work/tchecker-experiments/pddl-domains/sync-impossible/domain.pddl', '/home/david/work/tchecker-experiments/pddl-domains/sync-impossible/instances/*.pddl']' returned non-zero exit status 1.
sync-impossible,*,OPTIC,,,false,139,|
Command exited with non-zero status 139
%%%139%30.51%7676
sync-impossible,*-ground,POPF,,,false,139,|
Command exited with non-zero status 139
%%%139%12.74%7160
domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
driverlog,instance_1_1_1_1,tck-aLUcovreach,0.00,10576,true,okay,
driverlog,instance_1_1_1_1,tck-covreach,0.00,9080,true,okay,
driverlog,instance_1_1_1_1-ground,TAMER-ctp,0.00,4452,true,okay,
driverlog,instance_1_1_1_1-ground,nuXmv,0.05,58280,true,okay,
driverlog,instance_1_1_1_1-ground,UPPAAL,,,false,out of memory,|
driverlog,instance_1_1_1_1-cert-conv,shell-script,0.01,11436,true,okay,
driverlog,instance_1_1_1_1-muntac-cert-check,muntac,0.12,16248,true,okay,
driverlog,instance_1_1_1_1,tfd,0.05,13908,true,okay,
driverlog,instance_1_1_1_1,OPTIC,0.00,11276,true,okay,
driverlog,instance_1_1_1_1-ground,POPF,2.50,10224,true,okay,
driverlog,instance_1_1_1_2,tck-aLUcovreach,0.02,17300,true,okay,
driverlog,instance_1_1_1_2,tck-covreach,0.02,17460,true,okay,
driverlog,instance_1_1_1_2-ground,TAMER-ctp,0.00,4452,true,okay,
driverlog,instance_1_1_1_2-ground,nuXmv,0.07,60368,true,okay,
driverlog,instance_1_1_1_2-ground,UPPAAL,,,false,out of memory,|
driverlog,instance_1_1_1_2-cert-conv,shell-script,0.02,12512,true,okay,
driverlog,instance_1_1_1_2-muntac-cert-check,muntac,0.05,35936,true,okay,
driverlog,instance_1_1_1_2,tfd,0.05,13536,true,okay,
driverlog,instance_1_1_1_2,OPTIC,0.00,11040,true,okay,
driverlog,instance_1_1_1_2-ground,POPF,3.15,10232,true,okay,
driverlog,instance_1_1_1_3,tck-aLUcovreach,0.15,131412,true,okay,
driverlog,instance_1_1_1_3,tck-covreach,0.18,131596,true,okay,
driverlog,instance_1_1_1_3-ground,TAMER-ctp,0.00,4964,true,okay,
driverlog,instance_1_1_1_3-ground,nuXmv,0.09,63656,true,okay,
driverlog,instance_1_1_1_3-ground,UPPAAL,,,false,out of memory,|
driverlog,instance_1_1_1_3-cert-conv,shell-script,0.03,12884,true,okay,
driverlog,instance_1_1_1_3-muntac-cert-check,muntac,0.12,69640,true,okay,
driverlog,instance_1_1_1_3,tfd,0.05,13540,true,okay,
driverlog,instance_1_1_1_3,OPTIC,0.00,11004,true,okay,
driverlog,instance_1_1_1_3-ground,POPF,5.12,10532,true,okay,
driverlog,instance_1_1_2_1,tck-aLUcovreach,0.01,17460,true,okay,
driverlog,instance_1_1_2_1,tck-covreach,0.02,17488,true,okay,
driverlog,instance_1_1_2_1-ground,TAMER-ctp,0.00,4708,true,okay,
driverlog,instance_1_1_2_1-ground,nuXmv,0.10,60696,true,okay,
driverlog,instance_1_1_2_1-ground,UPPAAL,,,false,out of memory,|
driverlog,instance_1_1_2_1-cert-conv,shell-script,0.02,12624,true,okay,
driverlog,instance_1_1_2_1-muntac-cert-check,muntac,0.06,41936,true,okay,
driverlog,instance_1_1_2_1,tfd,0.05,13904,true,okay,
driverlog,instance_1_1_2_1,OPTIC,0.00,11040,true,okay,
driverlog,instance_1_1_2_1-ground,POPF,0.00,10416,true,okay,
driverlog,instance_1_1_2_2,tck-aLUcovreach,0.07,62988,true,okay,
driverlog,instance_1_1_2_2,tck-covreach,0.07,62644,true,okay,
driverlog,instance_1_1_2_2-ground,TAMER-ctp,0.00,4708,true,okay,
driverlog,instance_1_1_2_2-ground,nuXmv,0.20,64412,true,okay,
driverlog,instance_1_1_2_2-ground,UPPAAL,,,false,out of memory,|
driverlog,instance_1_1_2_2-cert-conv,shell-script,0.06,14288,true,okay,
driverlog,instance_1_1_2_2-muntac-cert-check,muntac,0.14,78004,true,okay,
driverlog,instance_1_1_2_2,tfd,1.08,13536,true,okay,
driverlog,instance_1_1_2_2,OPTIC,0.00,10520,true,okay,
driverlog,instance_1_1_2_2-ground,POPF,0.00,10312,true,okay,
driverlog,instance_1_1_2_3,tck-aLUcovreach,6.60,329716,true,okay,
driverlog,instance_1_1_2_3,tck-covreach,0.48,330572,true,okay,
driverlog,instance_1_1_2_3-ground,TAMER-ctp,0.00,4964,true,okay,
driverlog,instance_1_1_2_3-ground,nuXmv,0.18,67356,true,okay,
driverlog,instance_1_1_2_3-ground,UPPAAL,,,false,out of memory,|
driverlog,instance_1_1_2_3-cert-conv,shell-script,0.07,16460,true,okay,
